1
2
3
4
5
StoreName,BillDate,BillNumber,Quantity,TaxDescription,BaseValue,Tax,Amount,HSNCode
F56,01/11/2023,WS1,2,GST 5%,1200,60,1260,664677
F56,01/11/2023,WS2,1,GST 5%,1200,60,1260,664053
F56,01/11/2023,LS1,1,GST 5%,1600,80,1680,656101
F56,02/11/2023,WS3,2,GST 5%,1100,55,1155,643335
F56,02/11/2023,WS4,3,GST 5%,1700,85,1785,664939
F56,02/11/2023,LS2,3,GST 5%,1500,75,1575,653667
F56,02/11/2023,LS3,1,GST 5%,1200,60,1260,661899
F56,02/11/2023,WS5,1,GST 5%,1400,70,1470,629272
F56,02/11/2023,WS6,4,GST 5%,1000,50,1050,646881
F56,02/11/2023,WS7,1,GST 5%,1300,65,1365,660283
F56,02/11/2023,WS8,3,GST 5%,1000,50,1050,654164
F56,02/11/2023,LS4,2,GST 5%,1500,75,1575,663777
F56,02/11/2023,WS9,3,GST 5%,1800,90,1890,645600
F56,02/11/2023,WS10,5,GST 5%,2000,100,2100,657728
F56,02/11/2023,WS11,3,GST 5%,1800,90,1890,666531
F56,02/11/2023,WS12,5,GST 5%,1900,95,1995,630259
F56,02/11/2023,LS5,5,GST 5%,1000,50,1050,631691
F56,02/11/2023,LS6,5,GST 5%,1900,95,1995,661307
F56,02/11/2023,LS7,1,GST 5%,1900,95,1995,649806
F56,02/11/2023,WS13,5,GST 12%,1800,216,2016,649709
F56,02/11/2023,WS14,4,GST 5%,1100,55,1155,631098
F56,02/11/2023,WS15,2,GST 5%,1200,60,1260,646710
F56,02/11/2023,WS16,1,GST 5%,1800,90,1890,631203
F56,02/11/2023,WS17,5,GST 12%,2000,240,2240,645726
F56,02/11/2023,WS18,2,GST 5%,1600,80,1680,642419
F56,02/11/2023,WS19,3,GST 12%,1700,204,1904,654472
F56,02/11/2023,WS20,4,GST 5%,1100,55,1155,631225
F56,02/11/2023,LS8,3,GST 5%,1400,70,1470,641879
F56,02/11/2023,WS21,4,GST 5%,1600,80,1680,648358
F56,02/11/2023,WS22,1,GST 12%,1100,132,1232,655743
